2026/04/20 15:03:53 [error] 528#528: *136694 open() "/var/www/html/backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:54 [error] 528#528: *136694 open() "/var/www/html/blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:54 [error] 528#528: *136694 open() "/var/www/html/workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:55 [error] 528#528: *136694 open() "/var/www/html/panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:55 [error] 528#528: *136694 open() "/var/www/html/public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:56 [error] 528#528: *136694 open() "/var/www/html/apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:57 [error] 528#528: *136694 open() "/var/www/html/app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:57 [error] 528#528: *136694 open() "/var/www/html/index.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /index.php?s=/index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:58 [error] 528#528: *136694 open() "/var/www/html/public/index.php" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /public/index.php?s=/index/\think\app/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 15:03:59 [error] 528#528: *136694 open() "/var/www/html/containers/json" failed (2: No such file or directory), client: 221.2.170.239, server: localhost-nginx-proxy-manager, request: "GET /containers/json HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 16:15:19 [error] 528#528: *136908 open() "/var/www/html/.git/config" failed (2: No such file or directory), client: 198.211.97.111, server: localhost-nginx-proxy-manager, request: "GET /.git/config HTTP/1.1", host: "212.33.46.41"
2026/04/20 16:49:23 [error] 530#530: *139119 open() "/var/www/html/security.txt" failed (2: No such file or directory), client: 66.132.195.48, server: localhost-nginx-proxy-manager, request: "GET /security.txt HTTP/1.1", host: "212.33.46.41"
2026/04/20 16:52:09 [error] 530#530: *139134 open() "/var/www/html/SDK/webLanguage" failed (2: No such file or directory), client: 5.61.209.107, server: localhost-nginx-proxy-manager, request: "GET /SDK/webLanguage HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 18:52:41 [error] 207#207: *827 open() "/var/www/html/.git/index" failed (2: No such file or directory), client: 77.83.39.94, server: localhost-nginx-proxy-manager, request: "GET /.git/index HTTP/1.1", host: "212.33.46.41"
2026/04/20 19:00:46 [error] 205#205: *889 open() "/var/www/html/login" failed (2: No such file or directory), client: 178.104.110.60, server: localhost-nginx-proxy-manager, request: "GET /login HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 19:22:14 [error] 205#205: *1050 open() "/var/www/html/login.asp" failed (2: No such file or directory), client: 95.214.53.42, server: localhost-nginx-proxy-manager, request: "GET /login.asp HTTP/1.1", host: "212.33.46.41:80"
2026/04/20 19:30:52 [error] 205#205: *1125 open() "/var/www/html/WuEL" failed (2: No such file or directory), client: 185.213.175.176, server: localhost-nginx-proxy-manager, request: "GET /WuEL HTTP/1.1", host: "212.33.46.41"
2026/04/20 19:30:55 [error] 205#205: *1128 open() "/var/www/html/a" failed (2: No such file or directory), client: 185.213.175.176, server: localhost-nginx-proxy-manager, request: "GET /a HTTP/1.1", host: "212.33.46.41"
2026/04/20 19:30:58 [error] 205#205: *1129 open() "/var/www/html/download/file.ext" failed (2: No such file or directory), client: 185.213.175.176, server: localhost-nginx-proxy-manager, request: "GET /download/file.ext HTTP/1.1", host: "212.33.46.41"
